Sr No,Blood Bank Name,State,District,City,Address,Pincode,Contact No,Mobile,Helpline,Fax,Email,Website,Nodal Officer,Contact Nodal Officer,Mobile Nodal Officer,Email Nodal Officer,Qualification Nodal Officer,Category,Blood Component Available,Apheresis,Service Time,License #,Date License Obtained,Date of Renewal,Latitude,Longitude
1502,Krantiveer Chapekar Bandhu Blood Bank,Maharashtra,PUNE,Pune,"Pimpri Chinchwad Mahanagar Palika Talera Hospital, Tanaji Nagar Chinchwad, Pune",411033,"020 27610054, 020 27610042",9922501583,,,,,Dr. Shankar B. Mosalagi,"020 27610054, 020 27610042",8380059406,,MD (Pathology),Charity,YES,,10am to 6pm,PD-13A,1/1/2008,31-12-2012,18.625689,73.784672
804,Bangalore Lions Service Trust - Lions Blood Bank,Karnataka,BENGALURU URBAN,Bengaluru,"Bhagwan Mahaveer Jain Hospital, Millers Road, Vasantha Nagar",560052,080 22266807,9845315670,,,,,Sri M B Deepak Suman,080 22266807,9845315670,lionsbloodbank@airtelmail.in,DMLT,Charity,YES,NO,24x7,KTK/28C-137/2001,18-09-2001,PENDING,12.989645,77.592754
1018,Government Hospital Blood Bank,Kerala,KOLLAM,Punalur,"Govt. Blood Bank , Thaluk hospital , Punalur",691305,"0475 2222702, 0475 2228702",9387324070,,0475 2222702,,,Dr.Mary Sanshya,0475 2222702,9567766043,thqhpunalur@gmail.com,junior consultant in Transfusion Medicine,Government,NO,NO,24x7,69/28C/KER/DC-CLAA/97,17-04-1997,Pending,9.019172,76.924716
1067,Valluvanad Hospital Blood Bank,Kerala,PALAKKAD,Ottapalam,,679104,0466 2244405,,,,,,,0466 2344900,,,,Private,NO,NO,24x7,188/28C/KER/DC-CLAA/09,3/12/2009,1/12/2019,10.774578,76.360532
689,Kishtwar District Hospital Blood Bank,Jammu and Kashmir,KISHTWAR,Kishtwar,"District Hospital, Near Bus stand Kishtwar.",182204,01995 261410,9018497123,,1995261410,bloodbankkishtwar@gmail.com,,Dr. Khanchan,,8492907929,dr.khanchain0115@gmail.com,"MBBS, DCP",Government,NO,NO,24X7,JK/01/05-06/79,18-05-2005,17-05-2010 (Under Process),33.3139274,75.7681239
1613,Synod Hospital Blood Bank Durtlang,Mizoram,AIZAWL,Aizawl,"Blood Bank, Synod Hospital, Durtlang",796025,0389 2361222,9863374335,N/A,0389 2361185,synodhospital@gmail.com,,Dr. Lalnunnemi,,9436156251,synodhospital@gmail.com,"MBBS, MD",Charity,YES,NO,24x7,MDCA/BB/2,17-03-1997,12/6/2017,23.772714,92.731326
2735,Rampurhat S.D. Hospital Blood Bank,West Bengal,BIRBHUM,Birbhum,"P.O. Rampurhat, Rampurahat hospital Road, Besides of NH-60",731224,"03461 255102, 03461 255285",9932613072,N/A,N/A,rsdhbb84@gmail.com,,Dr. P. K. Sana,7586070974,7586070974,rampurhatsdh@rediffmail.com,MBBS,Government,NO,NO,24x7,DL-106-MB/SLA/CLAA/WB,28-04-2003,"27-04-2013, Applied",24.188551,87.7930965
2020,Government Head Quarters Hospital Blood Bank,Tamil Nadu,CUDDALORE,Cuddalore,"Nellikuppam road, Cuddalore",607001,04142 292052,9443253439,N/A,N/A,cuddalorebloodbank@gmail.com,,Dr. Sai Leela,N/A,9443253439,cuddalorebloodbank@gmail.com,"MBBS, DGO",Government,NO,NO,24x7,102/28c,N/A,31-12-2017,11.756684,79.759266
1523,Miraj Medical Centre - Wanless Hospital Blood Bank,Maharashtra,SANGLI,Sangli,"Wanless Hospital Blood Bank, Medical Centre, Miraj",416410,"0233 2223291, 0233 2223292, 0233 2223293, 0233 2223294, 0233 2223295",9604542311,,0233 2223413,,http://www.whmmc.org,Dr. Prabha Sanjay Quereshi,"0233 2223291, 0233 2223292, 0233 2223293, 0233 2223294, 0233 2223295",9604542311,"san_whmmc@sanchar.net.in, scwhmmc@gmail.com, wanlesshospital@dataone.in",,Charity,YES,,24x7,28/406,1/1/2012,31-11-2016,16.832135,74.645472
398,Guru Tegh Bahadur Hospital Blood Bank,Delhi,SHAHDARA,Delhi,"G. T. B. Hospital, Shahdara",110095,011 22590148,,,,,http://delhi.gov.in/wps/wcm/connect/doit_gtbh/GTBH/Home,Dr. Bharat Singh,,9868399515,bsdirsbtc@yahoo.co.in,MD (Pathology),Government,YES,YES,24x7,1227,31.12.2011,31.12.2016,28.683856,77.309903
967,Malankara Orthodox Syrian Church Medical Mission Hospital Blood Bank,Kerala,ERNAKULAM,Ernakulam,Kolencherry,680311,0484 3055555,,,,,,Dr. Elizabeth Louis,0484 3055555,8086280942,bbankmose@mosemm.org,Medical Officer,Charity,NO,NO,24x7,170/28C/KER/DC-CLAA/07,15-11-2007,14-10-2017,9.983305,76.474382
1792,Khanna Civil Hospital Blood Bank,Punjab,LUDHIANA,Khanna,"Karnail Singh Rd, Ahluwalia Mohalla, Anant Nagar",141401,"01628220102, 01628 221724",,,,ictcchk@yahoo.com,,Dr.Harbinder Singh,,09814067540,harbindersingh99@yahoo.in,MD (Pathology),Government,NO,NO,24x7,1880-B,18-09-2013,17-09-2018,30.703465,76.222834
656,Bhota Charitable Hospital Blood Bank,Himachal Pradesh,HAMIRPUR,Bhota,Hamirpur,176041,01972 255096,9418497878,,,bhota@mjsmrs.net,,Dr. Naveen Chander,9418497878,9418497878,chander.naveen1@gmail.com,MBBS,Charity,NO,NO,24*7,BB/NZ/04/6,27-07-2004,26-07-2019,31.609374,76.569182
406,Saket City Hospital Blood Bank,Delhi,SOUTH DELHI,New Delhi,"Mandir Marg, Press Enclave Road, Saket",110017,"011 40699999, 011 71211062",9899673262,,09171211010 / 2133,bloodbank@saketcityhospital.com,http://www.saketcityhospital.com,Dr. Rashmi Sood,011 40699999,9899673262,bloodbank@saketcityhospital.com,"MBBS, DCP, DNB",Private,YES,YES,24x7,s0010/13/bb,12.7.13,11.07.2018,28.527686,77.214348
1137,District Hospital Blood Bank,Madhya Pradesh,BHIND,Bhind,District Hospital,477001,07534 234074,9977664494,,,,,Dr. Harendra Singh,9977664494,9977664494,harensingh024@gmail.com,"MBBS, DCP",Government,NO,NO,24x7,28C/2/2008,6/12/2008,5/12/2013,26.566008,78.782684
1085,General Hospital Blood Bank,Kerala,THIRUVANANTHAPURAM,ThiruvAnanthapuram,,,0471 2307874,9497425753,,,,,Dr. Mary Aloysius,0471 2307874,9497425753,bbghtvm@gmail.com,Medical Officer,Government,NO,NO,24x7,28/28C/KER/DC-CLAA/96,29-02-1996,31-12-2016,8.500115,76.94234
2666,District Hospital Blood Bank,Uttar Pradesh,UNNAO,Unnao,Orai,209801,0515 2840149,9415457880,N/A,N/A,,,,,,,,Government,,,N/A,,,,26.537805,80.478884
1926,Government General Hospital Blood Bank,Rajasthan,SIROHI,Sirohi,"Palace Road Sirohi, Near Govt College Sirohi,",307001,02972 220041,9414272256,,,pmosirohi@gmail.com,,Dr. Virendra Mahatma,,9414398586,pmosirohi@gmail.com,"MBBS, MD",Government,NO,NO,24x7,raj1794,Dec-12,31-12-2017,24.88629,72.859424
143,Changlang District Hospital Blood Bank,Arunachal Pradesh,CHANGLANG,Changlang,"District Hospital, Changlang District, Arunachal Pradesh",792120,,9436068812,N/A,N/A,minsingngemu@gmail.com,,Dr. Minsing Ngemu,,9436068812,minsingngemu@gmail.com,MBBS,Government,NO,NO,24 x 7,BB/DL/2011/01,15/06/2015,14/06/2016,27.139258,95.738757
841,Al-Ameen Medical College Hospital Blood Bank,Karnataka,Bijapur,Bijapur,"Athani Road, Bihapurkar",586101,08352 270113,9036358995,,08352 270251,,http://www.alameenmedical.org/,Dr. Saeed M Yendigeri,08352 270113,9036358995,patilbsus@yahoo.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-165/2003,17-12-2003,Pending,16.825058,75.669209
1597,Aishwarya Blood Bank,Maharashtra,YAVATMAL,Yavatmal,"Survey No.3/2, Godhani Road, Gurunanak Nagar, Near Amolakshand College, Mouza, Umarsara, Yavatmal",445001,"07232 252500, 07232 242340",9860508090,,,bhongade@nagpur.dot.net.in,,Dr. Vinod R. Bhongade,07232 252500,9860508090,"drvbhongade@gmail.com, bhongade@nagpur.dot.net.in","MBBS, MD (Pathology), DPB",Charity,NO,NO,24x7,AMD/BB/22,12/10/2001,31-12-2017,20.389322,78.118544
274,Life Line Blood Bank,Bihar,PATNA,Patna,Govind Mitra Road,800004,0612 2301600,9234990509,,,lifelinebloodbank99@gmail.com,,Dr. Vijay Kumar,,"09334114009, 09234990509",lifelinebloodbank99@gmail.com,,Private,NO,,N/A,1345/99,01.01.2003,31.12.2012,0,0
922,Hutti Gold Hospital Blood Bank,Karnataka,RAICHUR,Hutti,"Hutti Gold Mines Limited, Raichur",584101,08532 275049,9986850870,,,,http://www.huttigold.co.in/,Dr. Vasanth Kumar,8532275463,9986850870,hygomin@sancharnet.in,MBBS,Private,NO,NO,24x7,KTK/28C-73/97,5/5/1997,30-12-2017,16.196412,76.653027
845,Indian Red Cross Society Blood Bank Chikkaballapur,Karnataka,Chikkaballapur,Chikkaballapur,"District Family Welfare Office, 2nd Floor, B. B. Road",561207,08156 272118,9844791189,,,,http://redcrosskarnataka.org/,Dr. Vikram R,08156 272118,9844791189,,Medical Officer,Charity,YES,NO,24x7,KTK/28C/246/2011,15-03-2012,14-03-2017,13.438043,77.72929
913,Rotary Mysore Chandrakala Hospital Blood Bank,Karnataka,Mysore,Mysore,"Chandrakala Hospital and Institute of Medical Research, Plot &#39;A&#39;, Kalidasa Road, Jayalakshmipuram",570012,0821 4288638,9731134312,,,,,Dr. Dhamoder A. M.,0821 4288638,9731134312,rchbb.mysore@rediffmail.com,Medical Officer,Private,NO,NO,24x7,KTK/28C-210/ 2007,18-12-2007,16-12-2017,12.325868,76.619519
1820,Rajpura Civil Hospital Blood Bank,Punjab,PATIALA,Rajpura Town,"AP Jain Hospital, Rajpura",140401,"01762 225539, 0175 221 2055",9872803453,01762 225539,,bloodbankchrajpura@gmail.com,,Dr. Anju Khurana,01762 225539,09872803453,anjukhurana650@gmail.com,MD (Pathology),Government,NO,NO,24x7,1656-B,23-10-1996,31-12-2016,30.478441,76.584065
39,Lions Club of Guntur Vision Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"1st Floor, Somuvari Street, Kothapeta, Guntur",522001,"0863 2336198, 0863 2336199",9246600777,,,,,Mr. Srinivas (Project Director),,9440262674,lionsvisionbloodbank@gmail.com,,Charity,YES,,,,,,0,0
1403,Manas Serological Institute Blood Bank,Maharashtra,MUMBAI,Mumbai,"CTS NO-167 / 168 / A1, 101-104, Grace Plaza, S. V. Road, , Near Railway Phatak, Jogeshwari (W), Mumbai",400102,022 26784546,9833832271,,,,,Dr. Cesamon Ponchol,022 26784546,9405233772,manasbbmumbai@gmail.com,"MBBS, MD",Charity,YES,,24x7,MH004636,13-10-2010,10/12/2015,19.13522,72.848108
503,"Sardar Patel voulantary Blood Bank, Keshod",Gujarat,JUNAGADH,Keshod,"Sardar patel voulantary Blood Bank, 1st Floor Sheetal Building, Ramnagar station road, Keshod, Junagadh",362220,02871 233353,9827577177,,,nitinjoshi673@gmail.com,,Dr. Nitin Joshi,9327477177,9327477177,nitinjoshi673@gmail.com,MBBS,Charity,NO,NO,24X7,GB/149,5/5/2011,4/5/2016,21.297078,70.246131
1376,Borivali Blood Bank (Doshi Memorial Charitable Trust),Maharashtra,MUMBAI,Mumbai,"3,4,5, Vithal Apartment, Near Ram Mandir, Mandpeshwar Road, Opposite, Flyover,  Borivali (w)",400103,"022 28936203, 022 28935219",9821052413,,,,,"Dr. Dinesh P. Vyas, Mr. Dinesh Asher","022 28936203, 022 28935219","09967460014, 09821052413, 09820263722",borivalibloodbank99@yahoo.com,MBBS,Charity,YES,,24x7,MH004616,,31-01-2018,19.199816,72.845937
2315,Prathima Institute of Medical Sciences Blood Bank,Telangana,KARIMNAGAR,Nagnur,"1st Floor, Hospital Building, Nagnur",505417,"0878 2216500, 08782216555, 08782216380/81",9948652670,7093066617,0878 2216400,pimsbbknr@gmail.com,http://www.prathimaeducation.org/,"Dr A Shardhrutha, Dr C H Raman Kumar",,7093066617,pimsbbknr@gmail.com,"MBBS, MD (Pathology)",Private,YES,YES,24x7,5/KN/AP/2002/BB/R,6/5/2002,6/4/2017,18.498565,79.151148
930,McGann Hospital Blood Bank,Karnataka,SHIVAMOGGA,Shimoga,Sagar Road,577201,08182 222412,9480575724,,,,,Dr. Sushmitha M. S.,08182 222412,9480575724,simsbloodbank@gmail.com,MBBS,Government,NO,NO,24x7,KTK/28C-58/97,7/4/1997,30-12-2017,13.935689,75.562968
1429,"ESI-PGIMSR, MGM Hospital Blood Bank",Maharashtra,MUMBAI,Mumbai,Mumbai,,,,,,,,,,,,,Government,,,,,,,0,0
1111,Medical College Hospital Blood Bank,Kerala,THRISSUR,Peringandoor,Mulangunnathukavu,680581,0487 2200310,9446372952,,,,,Dr. Pradeep Kumar,0487 2200310,9446372952,bbmctsr@gmail.com,Medical Officer,Government,YES,NO,24x7,157/28C/KER/DC-CLAA/05,20-12-2005,19-12-2015,10.630259,76.202424
30,District Headquarters Hospital,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",533101,,9849520969,,,govtbloodbank.rjy@gmail.com,,,,,,,,,,24x7,,,,17.019708,81.791631
2043,Sri Saanthi Blood Bank (Run by Kaveri trust),Tamil Nadu,ERODE,Erode,"6-9, kandappa Lane, Brough Road, Erode",638001,,,,,,,,,,,,Charity,,,,,,,0,0
460,Indian Red Cross Society Blood Bank,Gujarat,AMRELI,Amreli,"Mahatma Muldas Red Cross Bhavan, Civil Hospital Campus",365601,"02792 223034, 02792 232854",9978554009,,,redcrossbloodbankamreli@gmail.com,http://shaileshpatel.net/redcross/public_html/public_html/districtbranches.html,Dr. Kaushik Bhuva,9978554009,9978554009,redcrossbloodbankamreli@gmail.com,MD (Pathology),Charity,NO,NO,24X7,GB/38,Applied for renewal,Applied for renewal,21.606994,71.22186
2325,Singareni Collieries Co. Ltd,Telangana,KHAMMAM,Manuguru,"Blood Bank Medical Officer,  Blood Bank, Singareni Collieries Co. Ltd, Manuguru, Dist. Khammam, Mobile no:9491145024",507117,N/A,9866803810,N/A,N/A,,,,,,,,,,,24x7,,,,17.931207,80.82662
1999,Ramana Gounder Medical Trust Hospital Blood Bank,Tamil Nadu,COIMBATORE,Coimbatore,"Mettupalayam Road, S. F. No. 47 and 48 Thudaiyalur",34,"0422 2642488, 0422 2642435",N/A,N/A,N/A,bloodbank@rgmt.org,,Dr. P. Muthulakshmi,N/A,9585511280,bloodbank@rgmt.org,"MBBS, DCH",Charity,YES,NO,24x7,335/28c,30-01-2001,25-06-2017,11.07054,76.942457
2671,Heritage Hospital,Uttar Pradesh,VARANASI,Varanasi,LANKA BHU ROAD,221005,0542 2368888,8953003624,N/A,N/A,,,,,,,,Private,NO,NO,24x7,,,,25.279165,83.003404
1145,MP Thelasmia Kid Care Society Blood Bank,Madhya Pradesh,BHOPAL,Bhopal,"Opposite Hamidia Hospital, 4, Fategarh, Sultania Road",462001,"0755 2538891, 0755 5242131",9827267821,,,,,Dr. Raja Maity,9993531133,9993531133,aditimaity@yahoo.co.in,"MBBS, DCP",Private,YES,NO,24x7,28C/3/2002,13-11-2002,not renewed after license granted on 2002,23.2582415,77.3952417
2498,Lok Priya Hospital Blood Bank,Uttar Pradesh,GHAZIABAD,Ghaziabad,"G.T. Road, Modinagar",250003,01232 247556,N/A,N/A,N/A,,,,,,,,Private,,,24x7,,,,28.968368,77.730589
2425,District Combined Hospital Blood Bank,Uttar Pradesh,AMROHA,Jyotiba Phule Nagar,,,0592 2253065,"07500612345, 07500712345",N/A,N/A,,,,,,,,Government,,,N/A,,,,0,0
1713,"Odisha Red Cross Blood Bank, SDH, Bonai",Odisha,Sundergarh,Sundargarh,"Sub Divisional Hospital Bonai, Bonaigarh",770038,06626 244500,9437117223,,,rcbbbonai@gmail.com,,Dr. Amit Kumar Mohapatra,,9437341987,drmohapatra77@gmail.com,,Government,NO,NO,24x7,809,23-11-2011,22-11-2016,21.819928,84.956534
1558,Gor Banjara RSS Jankalyan Samiti - Seva Blood Bank,Maharashtra,THANE,,"Basement Puspadev Appartment, Near Sarvesh Hall Opposite to Manav Kalyan Kendra Dombivli",,0251 2442283,9270767973,,,,,,,,,,Charity,,,,,,,0,0
1231,District Hospital Blood Bank Mandla,Madhya Pradesh,MANDLA,Mandla,District Hospital,481661,07642 253077,9425163929,,07642 251501,bloodbank_mandla@rediffmail.com,,Dr. Gourav Jetly,07642 253077,9425163929,bloodbank_mandla@rediffmail.com,"MBBS, M.S.",Government,NO,NO,24x7,28C/9/97,13-02-1997,31-12-2007,22.596278,80.370388
1765,Shivam Hospital Blood Bank,Punjab,HOSHIARPUR,Hoshiarpur,"Phagwara Road, Near Railway Crossing",146001,"081466 80263, 01882 248173, Extn -110",,"01882 248173, 01882 248273",1882248199,shivamhospital2012@gmail.com,http://www.shivamhospital.in/,Dr. S.K. Sharma,"01882 248173, Extn -110",,shivamhospital73@gmail.com,,Private,NO,YES,24x7,1903-B,25-11-2014,24-11-2019,31.520779,75.900469
533,Red Cross Blood Bank Rajkot,Gujarat,RAJKOT,Rajkot,"Red Cross Building, 1st Floor, Suchak Road, Near Kundaliya College, Rajkot",360001,"0281 2466260, 08866871717",9426953839,,0281-2464942,rajkot_ircs@yahoo.co.in,http://www.redcrossgujarat.org/,Gaurang M Pandya,9426953839,9426953839,pandyagm@yahoo.co.in,Office Assistant,Government,YES,NO,24X7,GB/158,19-10-2012,18-10-2017,22.295381,70.796956
2549,Sai Blood Bank,Uttar Pradesh,KANPUR NAGAR,Kanpur,"N-2, Kidwai Nagar",208011,0512 2607720,N/A,N/A,N/A,,,,,,,,Private,,,N/A,,,,26.433311,80.322243
2385,R.G.M Hospital Blood Bank Unakoti,Tripura,Unakoti,Kailashahar,"District Hospital Unakoti, Kailashahar, Unakoti, Opp to District Jail",799277,0382 4222221,9436372951,N/A,3824 222221,N/A,,Dr. Karuna Kanti Debbarma,9436372951,9436372951,N/A,"MBBS, DCP",Government,NO,NO,24x7,TRI/BB/4/96,21-12-1996,A/F renewal,24.304612,92.033366
1341,Indian Red Cross Society Blood Bank,Maharashtra,JALGAON,Jalgaon,"Near Civil Hospital, Athwadi Bazar, Opposite to B.J.Market, Jalgaon",425001,"0257 2226233, 0257 2236255, 0257 2235855",9422296753,,,ircs_jal@yahoo.in,,"Dr. Prakash A. Sanghavi, Dr.Prakash B. Jain","0257 2226233, 0257 2235855",9422296753,ircs_jal@yahoo.in,MBBS,Charity,YES,YES,24x7,NKD/58,4/3/2014,3/3/2019,21.011122,75.567945
2164,Sudiksha Prabhu Hospital Blood Bank and Research Centre,Tamil Nadu,Thoothukudi (TUTICORIN),Kovilpatti,"59,60, Chokkan Urani Street, AKS Theatre Road, V.O.C. Nagar, Kadershan Koil, Kovilpatti",628501,"04632 233939, 04632 233828",N/A,N/A,N/A,N/A,http://www.SudikshaPrabhuHospital.com,Dr. Prabhu,N/A,9443363944,ramadoss.prabhu@gmail.com,MBBS,Private,NO,NO,24x7,338,3/10/2012,2/10/2017,9.172693,77.864944
2662,District Joint Hospital,Uttar Pradesh,SONBHADRA,Sonbhadra,"SH 5A, Bhandar Khurd",231216,N/A,9161349145,N/A,N/A,,,,,,,,Government,,,N/A,,,,24.646173,83.058614
1996,PSG Hospital Blood Bank,Tamil Nadu,COIMBATORE,Coimbatore,"Avinashi Road, Kalluri Nagar, Peelamedu, PSG Medical College And Hospital Campus, Coimbatore",641004,0422 2570170,N/A,N/A,N/A,pathology@psgimsr.ac.in,http://www.psghospitals.com,Dr. Prasanna N Kumar,N/A,8220051590,pathology@psgimsr.ac.in,"MBBS, MD (Pathology)",Charity,YES,YES,24x7,28/28c,20-08-1991,17-08-2019,11.018766,77.007145
3,Pillar Health Centre Blood Bank,Andaman And Nicobar Islands,SOUTH ANDAMAN,Port Blair,"Lamba Line,, P.B. 526,, P.O. Junglighat, , Opposite Airport",744104,"03192 233193, 03192 233993",9474247585,03192 233193,N/A,pillarbloodbank2016@gmail.com,,Dr. Sr. Cross Mary,"03192 233193, 03192 233993",9474247585,crossgracy2003@yahoo.co.in,"MBBS, MD (Medicine)",Charity,NO,NO,24X7,DL3/CLAA/ANI,08.09.2010,10.06.2015,11.653229,92.730714
2201,Government Head Quarters Hospital Blood Bank,Tamil Nadu,TIRUPPUR,Tiruppur,"Government Head Quarters Hospital, Dharapuram Road, Tiruppur",641607,0421 2423400,9842230774,N/A,N/A,bloodbankghqhtcr@gmail.com,,Dr. Priya Visuvasam,N/A,"09842230774, 09688332480",bloodbankghqhtcr@gmail.com,"MBBS, DCH",Government,YES,NO,24x7,376/28 C,20-01-1998,26-06-2015,11.076008,77.36898
1931,Purohit Charitable Trust Blood Bank,Rajasthan,SRIGANGANAGAR,Sriganganagar,"11-12 G Block, Gaushala road",335001,0154 2489635,9414280808,,0154 2475277,purohitbloodbank@gmail.com,,Dr H R Panwar,0154 2489635,,purohitbloodbank@gmail.com,,Charity,YES,NO,24x7,RAJ1947,2011,31-12-2016,29.923281,73.874708
2024,Ashok Blood Bank and Clinical Laboratory,Tamil Nadu,DHARMAPURI,Dharmapuri,"No. 63A, Sengodipuram Road IInd Floor, Dharmapuri",636702,0434 2260627,9843260627,N/A,N/A,ashok123.ak@gmail.com,,Dr. R.N. Ramamoorthy,N/A,8148458172,ashok123.ak@gmail.com,MBBS,Private,NO,NO,24x7,186/28c,1/1/2001,31-12-2016,12.132581,78.161182
1339,Dhanwantri Blood Bank,Maharashtra,JALGAON,Jalgaon,"H. No. 5/464/1, T. P. Scheme, No-1, Survey No 124/1/3A Plot No. 777/3, Jamner Road, Rangoli Hotel, Jawal Anand Nagar Bhusawal, Jalgaon",425201,02582 243243,"09326728048, 07588053642",,,bloodbank308@yahoo.com,,Dr. Pravin Narayan Mahajan,"02582 243243, 02582 243000, 09326728048",9326728048,"bloodbank308@yahoo.com ,dhanawantaribbbsl@hotmail.com, mahajanpath@hotmail.com",MD (Pathology),Charity,YES,YES,24x7,NKD/34,29-01-2008,31-12-2017,21.034297,75.781029
2455,District Hospital Blood Bank,Uttar Pradesh,BUDAUN,Badaun,Bareilly,243601,05832 266264,7351009125,N/A,N/A,,,,,,,,Government,,,N/A,,,,28.027732,79.126275
1709,"Immuno-Haematology & Blood Transfusion Centre, Rourkela",Odisha,Sundergarh,Rourkela,"ISPAT General Hospital, Steel Authority of India ltd. Rourkela Steel Plant, Sector - 19",769005,6612439919,8895501126,,,bbighrourkela@gmail.com,,Dr. Maysa Soren,,8895501126,maysa.soren@sailrsp.co.in,"MBBS, diploma blood transfusion.",Government,YES,NO,24x7,67,12/9/1983,Applied,22.2640892,84.8651084
2633,Jeevan Rekha Charitable Blood Bank,Uttar Pradesh,PILIBHIT,Pilibhit,Gandhi Stadum Road,N/A,05882 253269,N/A,N/A,N/A,,,,,,,,Private,,,N/A,,,,0,0
2247,Basavatarakam Indo-American Cancer Hospital and Research Institute Blood Bank,Telangana,HYDERABAD,Banjara Hills,"Block.No. III, Cellar Portion,Road No.14, Banjara Hills",500034,040 23551235,,,,,,,,,syambbts@gmail.com,,Private,,,,,,,0,0
553,General Hospital Surendranagar Blood Bank,Gujarat,SURENDRANAGAR,Surendranagar,"Blood Bank, General Hospital, Surendranagar",363001,02752 222052,9727712214,,,cdmo.health.surendranagar@gmail.com,,Dr. H. R. Prajapati,9727712214,9727712214,"dr.harshad@yahoo.co.in, cdmo.health.surendranagar@gmail.com",MD,Government,NO,NO,24X7,GB/716,2014,Dec-19,22.7226,71.649165
2698,District Hospital Blood Bank,Uttarakhand,PAURI GARHWAL,Pauri Garhwal,"District Hospital, Pauri Garhwal",246001,01368 222086,N/A,N/A,N/A,N/A,,Dr. S. Kandwal,9412403065,9412403065,N/A,N/A,Government,NO,,N/A,N/A,N/A,N/A,30.150844,78.773687
336,"Dr B R Ambedkar Memorial Hospital, Model Blood Bank",Chhattisgarh,RAIPUR,Raipur,"Room No:120, 1st Floor, Attached with PT.J.N.M Medical College, Jail Road",492001,0771 2890090,9826148884,0771 2890090,0771 2888481,modelbloodbankraipurcg@gmail.com,,Dr Vijay Kapse,0771 2890090,9826148884,drvkapse@yahoo.com,MD (Pathology),Government,YES,YES,24x7,28-C/08/97,13-02-1997,21-12-2016,21.25076,81.639
74,"RCH -II Blood Bank, Area Hospital, Adoni",Andhra Pradesh,KURNOOL,Adoni,"Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",518301,,9440503302,,,drhsivareddy123@gmail.com,,,,,,,Government,NO,NO,24x7,26/KNL/AP/2009/BB/G,12/10/2010,11/10/2015.   SENT FOR RENEWAL ON 10/09/2015,15.632223,77.272837
2454,Shubham Sarvam Charitable Blood Bank,Uttar Pradesh,BIJNOR,Bijnore,Civil Lines,,,9456040012,,,,,Dr. Ranjeet Singh,9456040012,9456040012,masood.javed0@gmail.com,,Charity,YES,2,,,,,0,0
166,Dr. Damani&#39;s Nursing Home Blood Bank,Assam,DIBRUGARH,Dibrugarh,"L.G.B. Avenue, Near Circuit House",786001,0373 2300928,9435031702,N/A,0373 2302184,damani_medicos@rediffmail.com,,DR. B. K. Pandit,,9435725027,damani_medicos@rediffmail.com,"MBBS, MD",Private,NO,NO,24 x 7,26/DR/Mfg/Blood,20/01/1998,A/F renewal,27.4898858,94.9229632
2218,Melmaruvathur Adiparasakthi Institute of Medical Sciences and Research Blood Bank,Tamil Nadu,VILLUPURAM,Melmaruvathur,"A unit of Adiparasuthi Charitable Medical Eductional Cultural Trust, Melmaruvathur, Kancheepuram",603319,"044 27528302, 044 27528303, 044 27528304",9442882041,,,,http://www.mapims.org,,,,,,Private,YES,,24x7,,,,12.434226,79.81321
1937,Lokmitra Blood Bank and Thalassemia Research Centre,Rajasthan,UDAIPUR,Udaipur,"205, Bussiness Centre, Madhuvan",313001,0294 2413100,,,,lokmitrabloodbank@gmail.com,,Dr. R.P. Kinra,,9414167587,,MD,Charity,YES,NO,24x7,RAJ2442,22-02-2013,21-02-2018,24.581121,73.712858
1601,JNIMS Hospital Blood Bank and Transfusion Unit,Manipur,IMPHAL EAST,Porompat,"JNIMS Hospital, , Ryang Palli Road, Near TV Road, Porompat, Imphal East",795005,"0385 2443142, 0385 2443144",9862983562,,0835 2443142,surjitkonsam@gmail.com,,Dr. Surjit Konsam,9862983562,9862983562,surjitkonsam@gmail.com,"MBBS, Certificate Course in Blood Banking and IHT",Government,NO,NO,24x7,2/Blood Bank/ Biological/DHS-2015,13-05-2015,12/5/2020,24.811173,93.961697
290,Sadar Hospital Sitamarhi Blood Bank,Bihar,SITAMARHI,Sitamarhi,"NH 104, KVJ Nagar, Sitamarhi,",843302,,9473264433,,,bloodbanksitamarhi@gmail.com,,Dr.Shashibhushan Sinha,,9473264433,bloodbanksitamarhi@gmail.com,MBBS,Government,NO,NO,24HRS,74(N)/04,20-02-2004,applied for renewal 2009-13 and 2014-19,26.596243,85.494747
2094,Velammal Medical College Hospital and Reserach Institute Blood Bank,Tamil Nadu,MADURAI,Madurai,"Velammal Village, Madurai-Tuticorin Ring Road, Anuppanadi, Madurai",625009,0452 25110033,N/A,1.80043E+11,N/A,vmchbb@gmail.com,http://www.velammalmedicalcollege.com,Dr. P. Sethuammal,N/A,9843033330,N/A,"MBBS, MD (Micro)",Private,YES,NO,24x7,344/28c,11/2/2013,10/2/2018,9.887094,78.150868
