update_reference_id,blood_bank_name,district,state,blood_group,component,units,source,data_origin,is_demo_data,reported_at
UPD-000293,Lok Priya Hospital Blood Bank,GHAZIABAD,Uttar Pradesh,O+,Whole Blood,0,pwa,synthetic_demo,true,2026-08-24 14:06:01
UPD-000274,Lokmitra Blood Bank and Thalassemia Research Centre,UDAIPUR,Rajasthan,B+,Plasma,4,pwa,synthetic_demo,true,2026-08-20 13:17:59
UPD-000242,Indian Red Cross Society Blood Bank,ADILABAD,Telangana,O+,Whole Blood,19,pwa,synthetic_demo,true,2026-08-27 02:38:08
UPD-000174,Mission Jan Jagriti Blood Bank,NORTH EAST DELHI,Delhi,A-,Plasma,21,pwa,synthetic_demo,true,2026-08-26 21:57:58
UPD-000188,Sri Lakshminarayana Institute of Medical Sciences Blood Bank,Puducherry,Puducherry,A-,Packed Red Cells,15,pwa,synthetic_demo,true,2026-08-27 00:11:26
UPD-000070,Government Multispeciality Hospital Blood Bank,CHANDIGARH,Chandigarh,B-,Plasma,6,pwa,synthetic_demo,true,2026-08-26 23:58:02
UPD-000210,H.N. Bahuguna Government Base Hospital Blood Bank,PAURI GARHWAL,Uttarakhand,A+,Whole Blood,11,pwa,synthetic_demo,true,2026-08-27 10:03:33
UPD-000253,Shubham Sarvam Charitable Blood Bank,BIJNOR,Uttar Pradesh,AB+,Packed Red Cells,3,pwa,synthetic_demo,true,2026-08-27 00:28:37
UPD-000284,Dr. B.L. Kapoor Memorial Hospital Blood Bank,LUDHIANA,Punjab,A-,Whole Blood,12,sms,synthetic_demo,true,2026-08-24 01:40:30
UPD-000057,bilasa blood bank rajnandgaon,RAJNANDGAON,Chhattisgarh,AB+,Plasma,20,pwa,synthetic_demo,true,2026-08-26 21:55:46
UPD-000122,Silchar Medical College and Hospital Blood Bank,CACHAR,Assam,A-,Plasma,6,pwa,synthetic_demo,true,2026-08-26 18:43:10
UPD-000202,Heritage Hospital,VARANASI,Uttar Pradesh,B-,Whole Blood,45,pwa,synthetic_demo,true,2026-08-26 19:56:57
UPD-000189,Sri Lakshminarayana Institute of Medical Sciences Blood Bank,Puducherry,Puducherry,AB-,Whole Blood,30,sms,synthetic_demo,true,2026-08-26 19:51:52
UPD-000285,Purohit Charitable Trust Blood Bank,SRIGANGANAGAR,Rajasthan,AB+,Platelets,1,pwa,synthetic_demo,true,2026-08-21 08:04:03
UPD-000236,Ashok Blood Bank and Clinical Laboratory,DHARMAPURI,Tamil Nadu,B-,Plasma,34,pwa,synthetic_demo,true,2026-08-27 02:53:00
UPD-000151,District Hospital Blood Bank Mandla,MANDLA,Madhya Pradesh,B-,Whole Blood,23,pwa,synthetic_demo,true,2026-08-27 09:49:38
UPD-000228,"Sardar Patel voulantary Blood Bank, Keshod",JUNAGADH,Gujarat,B-,Plasma,18,sms,synthetic_demo,true,2026-08-27 05:48:10
UPD-000194,District Hospital Blood Bank Ganderbal,GANDERBAL,Jammu and Kashmir,O-,Plasma,4,pwa,synthetic_demo,true,2026-08-27 01:34:57
UPD-000045,Pillar Health Centre Blood Bank,SOUTH ANDAMAN,Andaman And Nicobar Islands,O+,Packed Red Cells,34,sms,synthetic_demo,true,2026-08-26 17:28:33
UPD-000201,Heritage Hospital,VARANASI,Uttar Pradesh,B+,Packed Red Cells,5,pwa,synthetic_demo,true,2026-08-27 07:41:19
UPD-000211,H.N. Bahuguna Government Base Hospital Blood Bank,PAURI GARHWAL,Uttarakhand,B-,Platelets,42,pwa,synthetic_demo,true,2026-08-27 00:37:17
UPD-000138,Share Medical Care (Mediciti Hospital) Blood Bank,HYDERABAD,Telangana,AB+,Whole Blood,30,pwa,synthetic_demo,true,2026-08-26 16:05:31
UPD-000226,General Hospital Blood Bank,THIRUVANANTHAPURAM,Kerala,B-,Packed Red Cells,33,pwa,synthetic_demo,true,2026-08-27 08:18:54
UPD-000224,Gurjar Hospital and Endoscopy Centre Private Limited Blood Bank,INDORE,Madhya Pradesh,A+,Whole Blood,8,sms,synthetic_demo,true,2026-08-27 00:29:07
UPD-000104,Agrawal Life Line Hospital and Trauma Centre Blood Bank,MATHURA,Uttar Pradesh,O-,Platelets,31,pwa,synthetic_demo,true,2026-08-26 18:44:29
UPD-000280,Shivam Hospital Blood Bank,HOSHIARPUR,Punjab,B+,Plasma,24,pwa,synthetic_demo,true,2026-08-22 09:27:27
UPD-000129,Saint Josephs Hospital Blood Bank,THRISSUR,Kerala,AB+,Plasma,10,pwa,synthetic_demo,true,2026-08-26 13:12:08
UPD-000103,Agrawal Life Line Hospital and Trauma Centre Blood Bank,MATHURA,Uttar Pradesh,B-,Packed Red Cells,30,pwa,synthetic_demo,true,2026-08-27 03:31:57
UPD-000257,Valluvanad Hospital Blood Bank,PALAKKAD,Kerala,O+,Platelets,44,pwa,synthetic_demo,true,2026-08-26 16:18:32
UPD-000270,Fortis Memorial Research Institute Blood Bank,GURGAON,Haryana,B-,Packed Red Cells,43,pwa,synthetic_demo,true,2026-08-24 17:13:48
UPD-000290,Bhaskar Medical College and General Hospital Blood Bank,RANGAREDDY,Telangana,B-,Platelets,36,pwa,synthetic_demo,true,2026-08-22 15:44:23
UPD-000219,Indira Gandhi Hospital Blood Bank,LAKSHADWEEP DISTRICT,Lakshadweep,A-,Whole Blood,4,pwa,synthetic_demo,true,2026-08-27 08:55:42
UPD-000090,Borivali Blood Bank (Doshi Memorial Charitable Trust),MUMBAI,Maharashtra,AB+,Platelets,4,pwa,synthetic_demo,true,2026-08-26 17:33:15
UPD-000096,Pushpawati Singhania Research Institute Blood bank,NEW DELHI,Delhi,A-,Packed Red Cells,23,sms,synthetic_demo,true,2026-08-26 17:59:44
UPD-000245,J.D.C. Bytco Hospital Blood Bank,NASHIK,Maharashtra,A+,Plasma,33,pwa,synthetic_demo,true,2026-08-26 19:36:04
UPD-000040,KEM Hospital Blood Bank,PUNE,Maharashtra,O+,Plasma,28,pwa,synthetic_demo,true,2026-08-26 23:39:00
UPD-000028,M/s. Al-Azhar Medical College & Super Speciality Hospital Blood Bank,IDUKKI,Kerala,A+,Plasma,45,pwa,synthetic_demo,true,2026-08-27 11:15:27
UPD-000089,General Hospital Blood Bank Porbandar,PORBANDAR,Gujarat,B+,Packed Red Cells,43,pwa,synthetic_demo,true,2026-08-27 02:43:33
UPD-000046,Pillar Health Centre Blood Bank,SOUTH ANDAMAN,Andaman And Nicobar Islands,A+,Whole Blood,31,pwa,synthetic_demo,true,2026-08-27 09:24:09
UPD-000053,B.R. Singh Hospital Blood Bank,KOLKATA,West Bengal,O-,Platelets,45,sms,synthetic_demo,true,2026-08-27 07:03:03
UPD-000175,Mission Jan Jagriti Blood Bank,NORTH EAST DELHI,Delhi,O+,Whole Blood,18,pwa,synthetic_demo,true,2026-08-26 20:05:09
UPD-000078,General Hospital Surendranagar Blood Bank,SURENDRANAGAR,Gujarat,O-,Packed Red Cells,32,pwa,synthetic_demo,true,2026-08-26 13:00:09
UPD-000140,Saket City Hospital Blood Bank,SOUTH DELHI,Delhi,O+,Plasma,0,pwa,synthetic_demo,true,2026-08-26 15:50:01
UPD-000034,District Headquarters Hospital,EAST GODAVARI,Andhra Pradesh,B+,Plasma,15,pwa,synthetic_demo,true,2026-08-26 15:15:01
UPD-000191,P.N.H Mahatma Budh Educational and Research Centre Blood Bank,SIWAN,Bihar,A-,Platelets,34,pwa,synthetic_demo,true,2026-08-27 02:01:06
UPD-000273,Cooch Behar Municipality Hospital Blood Bank,Cooch Behar,West Bengal,B-,Packed Red Cells,15,pwa,synthetic_demo,true,2026-08-22 06:26:58
UPD-000221,B.M. Birla Heart Research Centre Blood Bank,KOLKATA,West Bengal,O+,Platelets,37,sms,synthetic_demo,true,2026-08-27 00:17:14
UPD-000047,Basavatarakam Indo-American Cancer Hospital and Research Institute Blood Bank,HYDERABAD,Telangana,AB-,Packed Red Cells,25,pwa,synthetic_demo,true,2026-08-27 05:26:33
UPD-000190,Sri Lakshminarayana Institute of Medical Sciences Blood Bank,Puducherry,Puducherry,A+,Plasma,34,pwa,synthetic_demo,true,2026-08-27 04:36:29
UPD-000055,Aishwarya Blood Bank,YAVATMAL,Maharashtra,B-,Plasma,40,pwa,synthetic_demo,true,2026-08-26 23:29:05
UPD-000086,Singareni Collieries Co. Ltd,KHAMMAM,Telangana,A-,Platelets,33,pwa,synthetic_demo,true,2026-08-27 02:31:56
UPD-000068,District Hospital Blood Bank,NORTH GOA,Goa,B-,Platelets,0,pwa,synthetic_demo,true,2026-08-26 21:14:05
UPD-000289,Bhaskar Medical College and General Hospital Blood Bank,RANGAREDDY,Telangana,AB-,Whole Blood,9,pwa,synthetic_demo,true,2026-08-23 21:09:40
UPD-000153,Modern Pathology and Blood Bank,GHAZIABAD,Uttar Pradesh,AB-,Platelets,36,pwa,synthetic_demo,true,2026-08-27 08:57:00
UPD-000243,Indian Red Cross Society Blood Bank,ADILABAD,Telangana,AB+,Packed Red Cells,2,sms,synthetic_demo,true,2026-08-27 07:16:34
UPD-000168,General Hospital Rewari Blood Bank,REWARI,Haryana,O+,Platelets,39,pwa,synthetic_demo,true,2026-08-27 00:14:26
UPD-000018,Military Hospital Blood Bank,AHMEDABAD,Gujarat,B+,Plasma,13,sms,synthetic_demo,true,2026-08-27 02:51:02
UPD-000072,Hind Blood Bank And Component Center,SITAPUR,Uttar Pradesh,B-,Platelets,16,pwa,synthetic_demo,true,2026-08-27 05:12:39
UPD-000080,JNIMS Hospital Blood Bank and Transfusion Unit,IMPHAL EAST,Manipur,AB+,Platelets,28,pwa,synthetic_demo,true,2026-08-27 02:27:53
UPD-000281,Shivam Hospital Blood Bank,HOSHIARPUR,Punjab,A-,Plasma,41,pwa,synthetic_demo,true,2026-08-24 13:50:32
UPD-000116,Holy Cross Hospital Blood Bank,CHAMARAJANAGAR,Karnataka,AB-,Whole Blood,23,sms,synthetic_demo,true,2026-08-26 20:16:02
UPD-000164,"Heavy Engineering Corporation, Plant Hospital Blood Bank",RANCHI,Jharkhand,B-,Platelets,15,sms,synthetic_demo,true,2026-08-26 20:38:41
UPD-000161,Saroj Super Speciality Hospital  Blood Bank,NORTH WEST DELHI,Delhi,A+,Packed Red Cells,4,pwa,synthetic_demo,true,2026-08-27 03:48:45
UPD-000094,Life Line Blood Bank,PATNA,Bihar,B-,Whole Blood,22,pwa,synthetic_demo,true,2026-08-26 23:37:03
UPD-000208,"Odisha Red Cross Blood Bank, Dhenkanal",DHENKANAL,Odisha,AB-,Plasma,11,sms,synthetic_demo,true,2026-08-27 05:13:12
UPD-000071,Government Multispeciality Hospital Blood Bank,CHANDIGARH,Chandigarh,O+,Platelets,5,pwa,synthetic_demo,true,2026-08-26 17:27:41
UPD-000169,General Hospital Rewari Blood Bank,REWARI,Haryana,AB-,Plasma,33,pwa,synthetic_demo,true,2026-08-26 13:02:12
UPD-000288,Jeevan Rekha Charitable Blood Bank,PILIBHIT,Uttar Pradesh,O+,Plasma,28,pwa,synthetic_demo,true,2026-08-24 14:59:23
UPD-000095,Pushpawati Singhania Research Institute Blood bank,NEW DELHI,Delhi,AB-,Packed Red Cells,29,sms,synthetic_demo,true,2026-08-26 21:58:34
UPD-000186,Velammal Medical College Hospital and Reserach Institute Blood Bank,MADURAI,Tamil Nadu,O+,Whole Blood,18,pwa,synthetic_demo,true,2026-08-26 19:10:27
UPD-000100,Government Head Quarters Hospital Blood Bank,TIRUPPUR,Tamil Nadu,B-,Plasma,43,pwa,synthetic_demo,true,2026-08-27 10:36:39
UPD-000083,District Hospital Blood Bank,BHIND,Madhya Pradesh,B+,Whole Blood,40,pwa,synthetic_demo,true,2026-08-27 01:30:08
UPD-000059,Ramana Gounder Medical Trust Hospital Blood Bank,COIMBATORE,Tamil Nadu,B+,Whole Blood,16,pwa,synthetic_demo,true,2026-08-27 02:46:20
UPD-000037,Mother Hospital Blood Bank,THRISSUR,Kerala,A+,Whole Blood,27,pwa,synthetic_demo,true,2026-08-26 17:30:11
UPD-000148,"ESI-PGIMSR, MGM Hospital Blood Bank",MUMBAI,Maharashtra,O-,Plasma,43,pwa,synthetic_demo,true,2026-08-27 09:27:13
UPD-000003,Jeevan Dhara Blood Bank,FIROZABAD,Uttar Pradesh,B+,Whole Blood,1,pwa,synthetic_demo,true,2026-08-27 00:49:01
UPD-000007,Indian Red Cross Society Blood Bank Chikkaballapur,Chikkaballapur,Karnataka,B+,Platelets,5,pwa,synthetic_demo,true,2026-08-26 20:05:03
UPD-000160,Saroj Super Speciality Hospital  Blood Bank,NORTH WEST DELHI,Delhi,A-,Whole Blood,10,pwa,synthetic_demo,true,2026-08-26 13:16:59
UPD-000233,Bangalore Lions Service Trust - Lions Blood Bank,BENGALURU URBAN,Karnataka,AB+,Platelets,15,sms,synthetic_demo,true,2026-08-27 07:22:07
UPD-000231,M/s Sunflag Hospital and Research Centre Blood Bank,FARIDABAD,Haryana,B+,Whole Blood,21,sms,synthetic_demo,true,2026-08-26 22:44:00
UPD-000065,Government Head Quarters Hospital Blood Bank,CUDDALORE,Tamil Nadu,A-,Platelets,43,pwa,synthetic_demo,true,2026-08-27 09:21:25
UPD-000105,Agrawal Life Line Hospital and Trauma Centre Blood Bank,MATHURA,Uttar Pradesh,B+,Whole Blood,28,sms,synthetic_demo,true,2026-08-26 17:17:36
UPD-000181,Neyveli Lignite Corporation,CUDDALORE,Tamil Nadu,A-,Whole Blood,41,pwa,synthetic_demo,true,2026-08-26 17:51:37
UPD-000216,Lokpriya Hospital Blood Bank,MEERUT,Uttar Pradesh,O+,Whole Blood,12,pwa,synthetic_demo,true,2026-08-26 22:04:16
UPD-000206,District Hospital Blood Bank Baloda Bazar,BALOD,Chhattisgarh,A+,Whole Blood,38,sms,synthetic_demo,true,2026-08-26 22:18:08
UPD-000247,HAL Hospital Blood Bank,KORAPUT,Odisha,O+,Packed Red Cells,25,sms,synthetic_demo,true,2026-08-27 08:25:28
UPD-000052,B.R. Singh Hospital Blood Bank,KOLKATA,West Bengal,B+,Packed Red Cells,37,sms,synthetic_demo,true,2026-08-27 08:44:14
UPD-000158,Plasma Diagnostic Lab and Blood Bank,THANE,Maharashtra,A-,Plasma,39,pwa,synthetic_demo,true,2026-08-27 09:22:33
UPD-000205,Raj Blood Bank Society,BHARATPUR,Rajasthan,A-,Packed Red Cells,4,sms,synthetic_demo,true,2026-08-27 01:35:32
UPD-000254,Manas Serological Institute Blood Bank,MUMBAI,Maharashtra,AB-,Platelets,14,pwa,synthetic_demo,true,2026-08-27 07:55:53
UPD-000126,Government General Hospital Blood Bank,SIROHI,Rajasthan,A+,Platelets,0,pwa,synthetic_demo,true,2026-08-26 17:22:01
UPD-000136,Kannur Medical college and Hospital (Prestige educational Trust) Blood Bank,KANNUR,Kerala,O+,Packed Red Cells,11,pwa,synthetic_demo,true,2026-08-26 15:00:35
UPD-000268,Saint Ann&#39;s Hospital Blood Bank,KRISHNA,Andhra Pradesh,A+,Packed Red Cells,0,pwa,synthetic_demo,true,2026-08-24 07:16:47
UPD-000187,Velammal Medical College Hospital and Reserach Institute Blood Bank,MADURAI,Tamil Nadu,AB+,Packed Red Cells,38,pwa,synthetic_demo,true,2026-08-27 04:15:25
UPD-000271,Fortis Memorial Research Institute Blood Bank,GURGAON,Haryana,O-,Plasma,10,pwa,synthetic_demo,true,2026-08-23 20:01:56
UPD-000108,Index Medical College Hospital and Research Centre Blood Bank,INDORE,Madhya Pradesh,O-,Packed Red Cells,41,pwa,synthetic_demo,true,2026-08-27 03:11:29
UPD-000006,Synod Hospital Blood Bank Durtlang,AIZAWL,Mizoram,O-,Whole Blood,28,pwa,synthetic_demo,true,2026-08-26 23:12:46
UPD-000239,Mohit Blood Bank Services,INDORE,Madhya Pradesh,A-,Whole Blood,9,pwa,synthetic_demo,true,2026-08-26 19:07:05
UPD-000264,K M C T Hospital Blood Bank,KOZHIKODE,Kerala,A+,Packed Red Cells,39,pwa,synthetic_demo,true,2026-08-27 02:08:58
UPD-000033,District Headquarters Hospital,EAST GODAVARI,Andhra Pradesh,AB-,Plasma,6,pwa,synthetic_demo,true,2026-08-26 19:15:23
UPD-000159,District Combined Hospital Blood Bank,BAGHPAT,Uttar Pradesh,B-,Packed Red Cells,2,sms,synthetic_demo,true,2026-08-26 16:40:09
UPD-000013,Sri Saanthi Blood Bank (Run by Kaveri trust),ERODE,Tamil Nadu,A+,Platelets,38,pwa,synthetic_demo,true,2026-08-27 09:31:33
UPD-000184,Rotary Mysore Chandrakala Hospital Blood Bank,Mysore,Karnataka,O+,Packed Red Cells,27,pwa,synthetic_demo,true,2026-08-27 08:51:33
UPD-000139,Share Medical Care (Mediciti Hospital) Blood Bank,HYDERABAD,Telangana,B+,Whole Blood,13,pwa,synthetic_demo,true,2026-08-26 14:10:50
UPD-000039,KEM Hospital Blood Bank,PUNE,Maharashtra,B+,Packed Red Cells,31,pwa,synthetic_demo,true,2026-08-26 22:28:24
UPD-000061,Indian Red Cross Society - Sarjubai Bansila Bajaj Blood Bank,SOLAPUR,Maharashtra,A-,Whole Blood,12,pwa,synthetic_demo,true,2026-08-26 22:40:38
UPD-000276,Medical College Hospital Blood Bank,THRISSUR,Kerala,A+,Packed Red Cells,30,pwa,synthetic_demo,true,2026-08-25 05:35:13
UPD-000087,Sadar Hospital Muzaffarpur Blood Bank,MUZAFFARPUR,Bihar,O+,Platelets,35,pwa,synthetic_demo,true,2026-08-26 14:35:12
UPD-000014,Cumbala Hill Hospital And Heart Institute Blood Bank,MUMBAI,Maharashtra,A-,Packed Red Cells,39,pwa,synthetic_demo,true,2026-08-26 20:38:49
UPD-000091,Borivali Blood Bank (Doshi Memorial Charitable Trust),MUMBAI,Maharashtra,A+,Packed Red Cells,30,pwa,synthetic_demo,true,2026-08-27 05:51:15
UPD-000025,Rajpura Civil Hospital Blood Bank,PATIALA,Punjab,B+,Packed Red Cells,29,pwa,synthetic_demo,true,2026-08-27 07:13:36
UPD-000227,"Sardar Patel voulantary Blood Bank, Keshod",JUNAGADH,Gujarat,O+,Whole Blood,2,sms,synthetic_demo,true,2026-08-26 20:12:11
UPD-000128,Government General Hospital Blood Bank,SIROHI,Rajasthan,O-,Platelets,45,pwa,synthetic_demo,true,2026-08-27 11:16:17
UPD-000149,Melmaruvathur Adiparasakthi Institute of Medical Sciences and Research Blood Bank,VILLUPURAM,Tamil Nadu,A+,Packed Red Cells,33,pwa,synthetic_demo,true,2026-08-27 00:22:51
UPD-000097,AIIMS Rishikesh,DEHRADUN,Uttarakhand,O+,Plasma,15,sms,synthetic_demo,true,2026-08-27 00:40:30
UPD-000142,Saket City Hospital Blood Bank,SOUTH DELHI,Delhi,A+,Plasma,26,pwa,synthetic_demo,true,2026-08-27 07:58:10
UPD-000130,Saint Josephs Hospital Blood Bank,THRISSUR,Kerala,A-,Plasma,20,pwa,synthetic_demo,true,2026-08-27 06:54:06
UPD-000282,Vaidhya Blood Bank,THANE,Maharashtra,B+,Platelets,26,pwa,synthetic_demo,true,2026-08-24 05:45:45
UPD-000111,District Hospital Blood Bank,BALLIA,Uttar Pradesh,O+,Plasma,42,pwa,synthetic_demo,true,2026-08-26 21:54:58
UPD-000030,"National Blood Bank, Kharab Hospital Blood Bank",HISAR,Haryana,B+,Plasma,5,pwa,synthetic_demo,true,2026-08-27 02:15:50
UPD-000286,Kishtwar District Hospital Blood Bank,KISHTWAR,Jammu and Kashmir,O-,Whole Blood,19,pwa,synthetic_demo,true,2026-08-23 07:20:43
UPD-000203,District Hospital Blood Bank,DIMAPUR,Nagaland,B-,Platelets,17,sms,synthetic_demo,true,2026-08-27 03:07:06
UPD-000287,Yanam Old Age Home Blood Bank,Puducherry,Puducherry,AB+,Packed Red Cells,9,pwa,synthetic_demo,true,2026-08-20 14:16:59
